Concept,elb_concept/prefLabel?,broader_pomoc,POMOC,literackie tak/nie/nie_wiem,exactMatch,narrowMatch,broadMatch,LOC_ID/exactMatch?close?,altLabel fin_a,Fi_Id/exactMatch?close?,altLabel cze_a,Cze_ID/exactMatch?close?,altLabel field_a_esp,esp_ID_exactMatch?close?,slownik_Hubar/exactMatch?close?,altLabel_pl
libri_thesauri_216,adoxography,,FALSE,tak,['http://www.wikidata.org/entity/Q4684656'],,,[],[],[],[],[],[],[],['https:/bn-lit-skos.lab.dariah.pl/scheme/Adoksografia'],['Adoksografia']
libri_thesauri_6632,aphorism,['literary work'],FALSE,tak,['http://www.wikidata.org/entity/Q165740'],,['libri_thesauri_4714'],['sh85005966'],['aforismit'],['http://www.yso.fi/onto/yso/p15630'],['aforismy'],['ph118277'],[],[],['https:/bn-lit-skos.lab.dariah.pl/scheme/Aforyzmy'],['Aforyzmy']
libri_thesauri_10263,Acmeist poetry,"['literary movement', 'style']",FALSE,tak,['http://www.wikidata.org/entity/Q420245'],,"['libri_thesauri_2042', 'libri_thesauri_11810']",['sh85000557'],['akmeismi'],['http://www.yso.fi/onto/yso/p25801'],['akméismus'],['ph558985'],[],[],['https:/bn-lit-skos.lab.dariah.pl/scheme/Akmeizm'],['Akmeizm']
libri_thesauri_5958,alliteration,,FALSE,tak,['http://www.wikidata.org/entity/Q484495'],,,['sh85003695'],['alkusointu'],['http://www.yso.fi/onto/yso/p14153'],[],[],[],[],['https:/bn-lit-skos.lab.dariah.pl/scheme/Aliteracja'],['Aliteracja']
libri_thesauri_14130,allusion,,FALSE,tak,['http://www.wikidata.org/entity/Q506667'],,,['sh85003729'],['alluusiot'],['http://www.yso.fi/onto/yso/p8744'],[],[],[],[],['https:/bn-lit-skos.lab.dariah.pl/scheme/Aluzja'],['Aluzja']
libri_thesauri_8932,antihero,['hero'],FALSE,tak,['http://www.wikidata.org/entity/Q110910'],,['libri_thesauri_4131'],['sh85005681'],['antisankarit'],['http://www.yso.fi/onto/yso/p21016'],[],[],[],[],['https:/bn-lit-skos.lab.dariah.pl/scheme/Antybohater'],['Antybohater']
libri_thesauri_208,Apostrophe,,FALSE,tak,['http://www.wikidata.org/entity/Q98151796'],,,['sh85006062'],[],[],[],[],[],[],['https:/bn-lit-skos.lab.dariah.pl/scheme/Apostrofa'],['Apostrofa']
libri_thesauri_462,autobiography,['written source'],FALSE,tak,['http://www.wikidata.org/entity/Q4184'],['libri_thesauri_10568'],['libri_thesauri_7461'],['sh85010049'],[],[],['autobiografie'],['ph114096'],[],[],['https:/bn-lit-skos.lab.dariah.pl/scheme/Autobiografia'],['Autobiografia']
libri_thesauri_6684,Baroque,['style'],FALSE,tak,['http://www.wikidata.org/entity/Q37853'],"['libri_thesauri_499', 'libri_thesauri_2159', 'libri_thesauri_12336', 'libri_thesauri_2860', 'libri_thesauri_294', 'libri_thesauri_7841', 'libri_thesauri_10819', 'libri_thesauri_7557', 'libri_thesauri_6177', 'libri_thesauri_1888', 'libri_thesauri_3043', 'libri_thesauri_11037', 'libri_thesauri_11955', 'libri_thesauri_1644', 'libri_thesauri_8261', 'libri_thesauri_9983', 'libri_thesauri_2290', 'libri_thesauri_3136', 'libri_thesauri_11085', 'libri_thesauri_5365', 'libri_thesauri_11347', 'libri_thesauri_3782', 'libri_thesauri_6146', 'libri_thesauri_2218', 'libri_thesauri_5785', 'libri_thesauri_3926', 'libri_thesauri_10943', 'libri_thesauri_11145']",['libri_thesauri_11810'],['sh85008345'],['barokki'],['http://www.yso.fi/onto/yso/p15757'],['baroko'],['ph118766'],[],[],['https:/bn-lit-skos.lab.dariah.pl/scheme/Barok'],['Barok']
libri_thesauri_204,Biblia pauperum,,FALSE,nie wiem,['http://www.wikidata.org/entity/Q681856'],,,[],[],[],[],[],[],[],['https:/bn-lit-skos.lab.dariah.pl/scheme/Biblia_pauperum'],['Biblia_pauperum']
